nombre,imagen,marca,precio,stock
Laptop Gamer,laptop.jpg,Asus,1500.00,10
Smartphone Galaxy S24,galaxy_s24.png,Samsung,999.99,25
Auriculares Bluetooth,auriculares.jpg,Sony,120.50,50
Tablet iPad Pro,ipad_pro.png,Apple,1350.00,8
Monitor 27,monitor27.jpg,LG,320.00,15
Teclado Mecánico,teclado.jpg,HyperX,95.99,40
Mouse Inalámbrico,mouse.png,Logitech,45.50,60
Impresora Multifuncional,impresora.jpg,HP,220.00,12
Consola PlayStation 5,ps5.png,Sony,599.99,20
Smartwatch Series 9,smartwatch.jpg,Apple,399.99,18
