categoria,dimensiones,especificaciones,idproducto,imagen,marca,modelo,nombre,peso,precio,stock
Laptop,35x24x2 cm,RAM 8GB SSD 512GB,PROD001,https://m.media-amazon.com/images/I/61FYc36J93L._AC_UY327_QL65_.jpg,ASUS,X515EA-BQ312,Laptop ASUS X515,1.8,2500.50,10
Laptop,36x25x2.2 cm,RAM 16GB SSD 1TB,PROD002,https://m.media-amazon.com/images/I/71NJ4yGVDxL._AC_UY327_QL65_.jpg,Dell,XPS 13,Laptop Dell XPS 13,1.3,4800.00,7
Laptop,38x26x2.5 cm,RAM 8GB HDD 1TB,PROD003,https://m.media-amazon.com/images/I/71aTEZOda0L._AC_UY327_QL65_.jpg,HP,Pavilion 15,Laptop HP Pavilion,2.0,3200.00,12
Laptop,34x23x1.8 cm,RAM 32GB SSD 1TB,PROD004,https://m.media-amazon.com/images/I/51ZqjuoQFWL._AC_UY327_QL65_.jpg,Apple,MacBook Pro,Laptop Apple MacBook Pro,1.4,7200.00,5
Laptop,35x24x2 cm,RAM 8GB SSD 256GB,PROD005,https://m.media-amazon.com/images/I/71pvhTrmZDL._AC_UY327_QL65_.jpg,Acer,Aspire 5,Laptop Acer Aspire 5,1.7,2200.00,14
Smartphone,15x7x0.8 cm,128GB 6GB RAM,PROD006,https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_UY327_QL65_.jpg,Samsung,Galaxy A32,Smartphone Samsung A32,0.2,1200.00,25
Smartphone,16x7.5x0.9 cm,256GB 8GB RAM,PROD007,https://m.media-amazon.com/images/I/61hGhagsIoL._AC_UY327_QL65_.jpg,Apple,iPhone 13,Smartphone iPhone 13,0.18,4200.00,20
Smartphone,16x7.6x0.9 cm,512GB 12GB RAM,PROD008,https://m.media-amazon.com/images/I/61V49wCBDtL._AC_UY327_QL65_.jpg,Samsung,Galaxy S22,Smartphone Galaxy S22,0.21,4800.00,15
Smartphone,15x7.1x0.8 cm,64GB 4GB RAM,PROD009,https://m.media-amazon.com/images/I/41UZCtYsNOL._AC_UY327_QL65_.jpg,Xiaomi,Redmi Note 10,Smartphone Xiaomi Redmi Note 13,0.19,900.00,40
Smartphone,15x7.2x0.9 cm,128GB 6GB RAM,PROD010,https://m.media-amazon.com/images/I/71g+3VPUSHL._AC_UY327_QL65_.jpg,Motorola,Moto G60,Smartphone Motorola G60,0.22,1100.00,18
